DaRe	female	0	1021	1049	e	28	28	2000
DaRe	female	1	1972	2003	v	31	31	600
DaRe	female	1016	4782	4800	v	18	18	80
DaRe	female	158	2043	2075	v	32	32	600
DaRe	female	1724	3270	3286	e	16	16	900
DaRe	female	26	6351	6322	e	-29	29	120
DaRe	female	3	4924	4952	v	28	28	350
DaRe	female	543	2009	2039	v	30	30	170
DaRe	female	564	8821	8842	v	21	21	230
DaRe	female	8	3727	3750	v	23	23	250
DaRe	male	1	1021	1049	e	28	28	2500
DaRe	male	104	8821	8852	v	31	31	500
DaRe	male	12	4924	4955	v	31	31	1200
DaRe	male	190	1001	1020	e	19	19	77
DaRe	male	217	12751	12780	v	29	29	210
DaRe	male	22	2043	2070	v	27	27	850
DaRe	male	265	10564	10592	e	28	28	250
DaRe	male	295	6206	6175	r	-31	31	230
DaRe	male	327	16486	16523	e	37	37	400
DaRe	male	393	2009	2047	e	38	38	80
DaRe	male	72	6129	6106	r	-23	23	350
MuMu	female	19	1075	1096	e	21		350
MuMu	female	282	2466	2485	e	19		70
MuMu	female	346	16188	16169	e	-19		80
MuMu	female	94	5000	5019	e	19		1400
MuMu	female	211	4996	5019	e	23		80
MuMu	female	254	16188	16167	e	-21		350
MuMu	female	282	2466	2485	e	19		70
MuMu	female	4	3895	3916	e	21		50
MuMu	female	48	11671	11704	e	33		50
MuMu	male	153	5000	5019	e	19		50
MuMu	male	57	1075	1096	e	21		100
NoGe	female	1001	4241	4274	e	33	33	130
NoGe	female	1002	8534	8502	e	-32	32	80
NoGe	female	1021	6817	6786	e	-31	31	100
NoGe	female	1085	2189	2209	v	20	20	70
NoGe	female	111	1600	1617	v	17	17	70
NoGe	female	1217	10265	10290	v	25	25	130
NoGe	female	1230	335	367	v	32	32	50
NoGe	female	1565	4336	4363	e	27	27	150
NoGe	female	187	3379	3426	e	47	47	60
NoGe	female	2	12174	12200	v	26	26	200
NoGe	female	238	8437	8455	v	18	18	100
NoGe	female	28	2358	2408	e	50	50	300
NoGe	female	471	4402	4430	v	28	28	70
NoGe	female	280	5025	5075	e	50	50	70
NoGe	female	404	14058	14080	v	22	22	60
NoGe	female	471	4402	4430	v	28	28	70
NoGe	female	605	6770	6750	e	-20	20	200
NoGe	female	66	4868	4898	e	30	30	60
NoGe	female	87	14104	14130	e	26	26	800
NoGe	female	9	13183	13216	e	33	33	1500
NoGe	female	997	12086	12104	e	18	18	70
NoGe	male	1056	1600	1621	v	21	21	450
NoGe	male	1079	4336	4362	v	26	26	3000
NoGe	male	11	4555	4605	e	50	50	60
NoGe	male	1115	4221	4240	e	19	19	400
NoGe	male	121	4199	4233	e	34	34	350
NoGe	male	1815	97	121	v	24	24	200
NoGe	male	134	3610	3633	e	23	23	150
NoGe	male	1352	5568	5596	e	28	28	150
NoGe	male	1404	14104	14129	v	25	25	200
NoGe	male	1435	6732	6751	e	19	19	400
NoGe	male	149	3892	3921	v	29	29	300
NoGe	male	159	5397	5422	v	25	25	160
NoGe	male	167	3432	3464	v	32	32	100
NoGe	male	1688	2081	2107	v	26	26	115
NoGe	male	1759	13448	13468	v	20	20	50
NoGe	male	1815	97	121	v	24	24	200
NoGe	male	1848	10265	10290	e	25	25	400
NoGe	male	1867	7924	7944	e	20	20	70
NoGe	male	2011	6770	6750	e	-20	20	150
NoGe	male	1375	4211	4240	e	29	29	250
NoGe	male	250	5157	5186	e	29	29	230
NoGe	male	316	2358	2386	v	28	28	270
NoGe	male	327	4944	4974	e	30	30	130
NoGe	male	343	4110	4130	e	20	20	4000
NoGe	male	346	13516	13543	e	27	27	900
NoGe	male	36	8524	8503	r	-21	21	2500
NoGe	male	369	3815	3830	e	15	15	300
NoGe	male	3722	8437	8455	v	18	18	500
NoGe	male	3829	958	979	e	21	21	115
NoGe	male	397	8551	8502	e	-49	49	60
NoGe	male	462	5015	5048	e	33	33	180
NoGe	male	4957	13495	13518	e	23	23	1000
NoGe	male	604	3378	3426	e	48	48	50
NoGe	male	636	3667	3689	v	22	22	800
NoGe	male	645	4879	4901	v	22	22	60
NoGe	male	697	4813	4834	v	21	21	120
NoGe	male	716	4980	5000	v	20	20	100
RuPh	female	10	13185	13208	e	23	23	180
RuPh	female	1078	7621	7640	e	19	19	120
RuPh	female	1271	13009	13038	e	29	29	50
RuPh	female	14	4701	4745	v	44	44	90
RuPh	female	164	7028	7054	v	26	26	80
RuPh	female	1815	16032	16052	e	20	20	120
RuPh	female	185	3462	3488	v	26	26	150
RuPh	female	191	1718	1743	v	25	25	15000
RuPh	female	2031	10750	10779	e	29	29	350
RuPh	female	2350	7571	7597	v	26	26	50
RuPh	female	3012	10791	10814	e	23	23	70
RuPh	female	3049	12254	12275	e	21	21	120
RuPh	female	31	6924	6948	v	24	24	150
RuPh	female	390	11836	11867	e	31	31	550
RuPh	female	433	1718	1749	e	31	31	300
RuPh	female	390	11836	11867	e	31	31	550
RuPh	female	425	8829	8849	v	20	20	110
RuPh	female	488	4925	4943	v	18	18	100
RuPh	female	514	3566	3588	v	22	22	150
RuPh	female	7	2335	2365	e	30	30	150
RuPh	female	790	22093	22120	v	27	27	100
RuPh	female	819	2602	2634	e	32	32	80
RuPh	female	873	5363	5382	e	19	19	200
RuPh	female	899	3676	3702	v	26	26	50
RuPh	female	968	13043	13071	v	28	28	250
RuPh	male	1073	10543	10571	e	28	28	2000
RuPh	male	1176	76	104	e	28	28	150
RuPh	male	1233	13778	13803	e	25	25	50
RuPh	male	1270	3177	3197	e	20	20	200
RuPh	male	1323	10676	10701	v	25	25	300
RuPh	male	1344	12847	12871	e	24	24	7000
RuPh	male	1383	10869	10896	e	27	27	400
RuPh	male	143	9209	9234	v	25	25	400
RuPh	male	149	14574	14602	v	28	28	900
RuPh	male	1549	10814	10833	v	19	19	70
RuPh	male	171	10702	10735	e	33	33	70
RuPh	male	1749	9561	9586	v	25	25	55
RuPh	male	1877	11881	11908	e	27	27	70
RuPh	male	1549	10814	10833	v	19	19	70
RuPh	male	19	10594	10612	e	18	18	180
RuPh	male	305	3494	3513	v	19	19	50
RuPh	male	196	10124	10146	v	22	22	400
RuPh	male	2	10569	10589	v	20	20	600
RuPh	male	1270	3177	3197	e	20	20	200
RuPh	male	2	10569	10589	v	20	20	600
RuPh	male	20	9340	9369	e	29	29	1500
RuPh	male	46	14574	14594	v	20	20	150
RuPh	male	224	9450	9477	e	27	27	300
RuPh	male	286	10889	10921	e	32	32	230
RuPh	male	289	10196	10224	e	28	28	1500
RuPh	male	305	3494	3513	v	19	19	50
RuPh	male	328	19925	19958	v	33	33	70
RuPh	male	332	10768	10797	v	29	29	500
RuPh	male	3630	12764	12788	e	24	24	60
RuPh	male	367	10359	10383	v	24	24	300
RuPh	male	397	10515	10546	e	31	31	80
RuPh	male	43	3144	3165	v	21	21	1500
RuPh	male	5	10837	10862	e	25	25	6000
RuPh	male	1233	13778	13803	e	25	25	50
RuPh	male	305	3494	3513	v	19	19	50
RuPh	male	3094	76	100	e	24	24	50
RuPh	male	50	10484	10512	v	28	28	400
RuPh	male	56	6306	6336	e	30	30	650
RuPh	male	343	10889	10921	e	32	32	60
RuPh	male	3630	12764	12788	e	24	24	60
RuPh	male	60	10936	10954	v	18	18	200
RuPh	male	789	6212	6241	e	29	29	60
